sequence,state
25968,0.9265055999907365
25969,0.7844018359331009
25970,0.008816434375721539
25971,0.4947247446249433
25972,0.6142243300814028
25973,0.7564414476724051
25974,0.008816434375721539
25975,0.008816434375721539
25976,0.9585932779354271
25977,0.008816434375721539
25978,0.008816434375721539
25979,0.863931446073934
25980,0.931609495385418
25981,0.9418624166668905
25982,0.9655439872095885
25983,0.052316494031749754
25984,0.010552316085992742
25985,0.8455496940452729
25986,0.008816434375721539
25987,0.008816434375721539
25988,0.6451525020143968
25989,0.9511526381199801
25990,0.12631514274151054
25991,0.0729109102749525
25992,0.008816434375721539
25993,0.9502647303099189
25994,0.009594056629348537
25995,0.6710444100506352
25996,0.7603538708610074
25997,0.22941019498055534
25998,0.9198581820419449
25999,0.008816434375721539
26000,0.9514264035077922
26001,0.008816434375721539
26002,0.41140851500401127
26003,0.1445115900413096
26004,0.011762265756454025
26005,0.9584700829912486
26006,0.008816434375721539
26007,0.880940699796133
26008,0.040502432655273035
26009,0.12095059459346402
26010,0.597521873222969
26011,0.008816434375721539
26012,0.8482757878841846
26013,0.08302706509795085
26014,0.7775745793620081
26015,0.8681817800639348
26016,0.7771956210949255
26017,0.91066571354674
26018,0.9685844532327159
26019,0.05357587944484096
26020,0.13028554501817735
26021,0.958623184916131
26022,0.8024592578755009
26023,0.5546429156852578
26024,0.4908325051648667
26025,0.013134747901965924
26026,0.8437715507590717
26027,0.9076731750548048
26028,0.9586231345520753
26029,0.8747173110161907
26030,0.008816434375721539
26031,0.4416505568193668
26032,0.9459625946385233
26033,0.008816434375721539
26034,0.9534478349313575
26035,0.9518435446368301
26036,0.008816434375721539
26037,0.26909302726700624
26038,0.008816434375721539
26039,0.6819432313561372
26040,0.8483984221361875
26041,0.945116400477638
26042,0.846821763475835
26043,0.9647379564940051
26044,0.008816434375721539
26045,0.8387950118746219
26046,0.6386158210626994
26047,0.9615398688614845
26048,0.8875283722603473
26049,0.9422307880941586
26050,0.008816434375721539
26051,0.008816434375721539
26052,0.008816434375721539
26053,0.008816434375721539
26054,0.11884453826117179
26055,0.897813308573649
26056,0.8608277045366541
26057,0.4886017648741958
26058,0.8390338470038528
26059,0.5181404685882163
26060,0.008816434375721539
26061,0.015238456403247303
26062,0.7199583402007156
26063,0.31706600514297445
26064,0.9329764235882164
26065,0.008816434375721539
26066,0.013367871391255268
26067,0.8847342833859717
26068,0.9460145338137751
26069,0.7779353269224413
26070,0.008816434375721539
26071,0.20162574593594146
26072,0.8863823943819524
26073,0.9636575220706329
26074,0.8973881305761356
26075,0.17131784923391116
26076,0.7860699464588002
26077,0.9239056707576615
26078,0.008816434375721539
26079,0.008816434375721539
26080,0.9636950895290989
26081,0.008816434375721539
26082,0.008816434375721539
26083,0.8987794995878186
26084,0.8834472318906921
26085,0.9310871747010754
26086,0.6422753868241579
26087,0.11801097641083373
26088,0.008816434375721539
26089,0.30191884233230865
26090,0.008816434375721539
26091,0.9100294464284093
26092,0.5098205528019903
26093,0.011107545137732586
26094,0.1155971852853613
26095,0.8617595877934596
26096,0.8572125761239707
26097,0.7656108472877455
26098,0.008816434375721539
26099,0.9105554180246535
26100,0.9503744076609238
26101,0.8855722325945522
26102,0.008816434375721539
26103,0.008816434375721539
26104,0.012481079938784233
26105,0.6134774282403672
26106,0.9203585815393508
26107,0.008816434375721539
26108,0.008816434375721539
26109,0.0763948556977591
26110,0.9566682386328085
26111,0.8363273126396464
26112,0.8879909503919536
26113,0.008816434375721539
26114,0.9210671371113136
26115,0.9653871090212434
26116,0.8118314685663953
26117,0.008816434375721539
26118,0.8008388043973163
26119,0.968884548416471
26120,0.1832006363270515
26121,0.009750690375294264
26122,0.8211444099401268
26123,0.008816434375721539
26124,0.8363344164159144
26125,0.6845207031558226
26126,0.9442049199892782
26127,0.06851235523372656
26128,0.6920210149837661
26129,0.8193762421457758
26130,0.8994915818454393
26131,0.0988689739558391
26132,0.9406239161507559
26133,0.008816434375721539
26134,0.008816434375721539
26135,0.8101430086370837
26136,0.5294989812882678
26137,0.9562668932262094
26138,0.9543449594509285
26139,0.9439668999793674
26140,0.8997885468965108
26141,0.1330918892197905
26142,0.012027689836171092
26143,0.026113916020757574
26144,0.014668203489143057
26145,0.5328969362188177
26146,0.7169970482343995
26147,0.9314987855123813
26148,0.020228418324957503
26149,0.008816434375721539
26150,0.7446602894146823
26151,0.5163102208523809
26152,0.4971987531076531
26153,0.9505157373898776
26154,0.5261295153645345
26155,0.7436801531880018
26156,0.008816434375721539
26157,0.6468788510535213
26158,0.06287755365825032
26159,0.05887430377031357
26160,0.010554803454589718
26161,0.008816434375721539
26162,0.890488141584417
26163,0.9637648338584615
26164,0.9659232508171801
26165,0.9407568934130206
26166,0.9136057231055612
26167,0.5578041071667108
26168,0.6003938154424127
26169,0.6440611281789431
26170,0.008816434375721539
26171,0.773892286127817
26172,0.7125543534902483
26173,0.9515245255477954
26174,0.010649996308634556
26175,0.9015133946505162
26176,0.8709522209523244
26177,0.01031580503531663
26178,0.9211110529156383
26179,0.7483591309033311
26180,0.008816434375721539
26181,0.009541992955750903
26182,0.9557488461616542
26183,0.9684386601457782
26184,0.054785345673258136
26185,0.008816434375721539
26186,0.009594056629348537
